Stock,MAE,RMSE
CIT,79.3848507789687,87.79610240054875
DDBL,53.83940361198968,65.09686562770146
GBBL,18.341019732098545,24.684265441874196
ICFC,25.27060296376976,30.21116827134763
KKHC,20.160537984528503,25.514861584261137
NABIL,19.97620324043565,25.618996229809905
NLIC,77.035401193242,83.41273042077574
PRIN,136.49368676296172,146.60480183191632
SHL,57.968675839386556,61.254656676140755
STC,213.55875035651974,265.6027212188689
UNL,674.1372435957521,892.2707749650367
